id,label,source,text_original,text
70798,misleading,PolitiFact,"Says President Obama has ""doubled"" the deficit.","President Obama has ""doubled"" the deficit."
68793,genuine,PolitiFact,"Says ""half the Americans don't pay any income taxes.""","""half the Americans don't pay any income taxes."""
70881,misleading,PolitiFact,"Says that with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.""","with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent."""
62434,misleading,PolitiFact,"Says Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs.""","Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs."""
68526,genuine,PolitiFact,"Say that under state law, ""systems development charges can only be spent on capital investment.""","under state law, ""systems development charges can only be spent on capital investment."""
68545,misleading,PolitiFact,"Says Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion.""","Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion."""
67467,misleading,PolitiFact,"Says Oregon's high minimum wage is the reason why ""by 2011, Oregon's restaurants employed an average of only 13.8 workers, or 2.6 fewer employees than they did before the state's minimum wage began rising above the federal level in 1997.""","Oregon's high minimum wage is the reason why ""by 2011, Oregon's restaurants employed an average of only 13.8 workers, or 2.6 fewer employees than they did before the state's minimum wage began rising above the federal level in 1997."""
67865,misleading,PolitiFact,"Says U.S. Senate rival Tommy Thompson ran Medicare ""into the ground"" and ""nine years closer to bankruptcy.""","U.S. Senate rival Tommy Thompson ran Medicare ""into the ground"" and ""nine years closer to bankruptcy."""
72212,genuine,PolitiFact,Says income tax rates under Eisenhower were as high as 90 percent.,income tax rates under Eisenhower were as high as 90 percent.
61992,misleading,PolitiFact,"Says that after ""the last income tax increase in the state of Illinois, we saw the largest exodus of middle-income families.""","after ""the last income tax increase in the state of Illinois, we saw the largest exodus of middle-income families."""
70671,misleading,PolitiFact,"Says library district would come ""at no direct cost to the city budget.""","library district would come ""at no direct cost to the city budget."""
70651,misleading,PolitiFact,"Says Democrats racked up a $1 billion state deficit, while Republicans under Bill O'Brien balanced the budget.","Democrats racked up a $1 billion state deficit, while Republicans under Bill O'Brien balanced the budget."
70380,genuine,PolitiFact,"Says the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office.""","the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office."""
68737,misleading,PolitiFact,"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""","her accomplishments include ""a fiscally responsible budget agreement that controls state spending."""
74415,misleading,PolitiFact,"Says the Clinton Foundation ""gave ONLY $5 million to charities, spent $85 million for their salaries & travels and KEPT the rest = $87 million"" in 2014.","the Clinton Foundation ""gave ONLY $5 million to charities, spent $85 million for their salaries & travels and KEPT the rest = $87 million"" in 2014."
74512,misleading,PolitiFact,"Says the Democratic Party ""took Social Security from the independent 'Trust Fund' and put it into the general fund so that Congress could spend it"" and ""eliminated the income tax deduction for Social Security withholding.""","the Democratic Party ""took Social Security from the independent 'Trust Fund' and put it into the general fund so that Congress could spend it"" and ""eliminated the income tax deduction for Social Security withholding."""
67676,misleading,PolitiFact,"Says Chris Christie's plan ""to kick-start our economy"" is to propose an ""income tax cut that disproportionately benefits the wealthy, and...he's still proposing it.""","Chris Christie's plan ""to kick-start our economy"" is to propose an ""income tax cut that disproportionately benefits the wealthy, and...he's still proposing it."""
69801,misleading,PolitiFact,"Says the Internal Revenue Service estimated it must hire ""16,500 agents at a cost of $10 billion to the taxpayer"" to enforce the federal health care overhaul.","the Internal Revenue Service estimated it must hire ""16,500 agents at a cost of $10 billion to the taxpayer"" to enforce the federal health care overhaul."
67796,genuine,PolitiFact,"Says food stamp growth, while high, lagged the rise in unemployment.","food stamp growth, while high, lagged the rise in unemployment."
68300,genuine,PolitiFact,"Says if labor force participation rate were the same as when Barack Obama became president, unemployment would be 11 percent.","if labor force participation rate were the same as when Barack Obama became president, unemployment would be 11 percent."
69106,genuine,PolitiFact,"Says ""51 percent of federal tax filers paid zero federal income tax.""","""51 percent of federal tax filers paid zero federal income tax."""
69368,misleading,PolitiFact,"Says that in 2009 ExxonMobil ""paid no federal income taxes, received a $156 million rebate.""","in 2009 ExxonMobil ""paid no federal income taxes, received a $156 million rebate."""
70385,genuine,PolitiFact,"Says Barack Obama ""promised he would cut the deficit in half"" but didn't.","Barack Obama ""promised he would cut the deficit in half"" but didn't."
68964,misleading,PolitiFact,"Says the Simpson-Bowles deficit reduction proposal went from President Barack Obama's desk to ""the garbage can.""","the Simpson-Bowles deficit reduction proposal went from President Barack Obama's desk to ""the garbage can."""
69777,genuine,PolitiFact,"Says Milwaukee County spent over $170,000 in salaries in 2010 for employees to ""participate in union activities such as collective bargaining.""","Milwaukee County spent over $170,000 in salaries in 2010 for employees to ""participate in union activities such as collective bargaining."""
65499,misleading,PolitiFact,"Says Hillary Clinton will receive her ""congressional salary until she dies"" and the Secret Service pays her mortgage.","Hillary Clinton will receive her ""congressional salary until she dies"" and the Secret Service pays her mortgage."
70461,genuine,PolitiFact,"Says the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025.""","the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025."""
68741,misleading,PolitiFact,"Says in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt.""","in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt."""
70559,misleading,PolitiFact,Says combined inflation and unemployment rates in October 2011 were the highest since Ronald Reagan succeeded Jimmy Carter.,combined inflation and unemployment rates in October 2011 were the highest since Ronald Reagan succeeded Jimmy Carter.
69308,misleading,PolitiFact,"Says CNN's Wolf Blitzer was wrong to say that ""the wealthiest Americans, they pay the most in taxes already -- 50 percent of Americans don't even pay any federal income tax.""","CNN's Wolf Blitzer was wrong to say that ""the wealthiest Americans, they pay the most in taxes already -- 50 percent of Americans don't even pay any federal income tax."""
67663,genuine,PolitiFact,"Says ending the direct payment farm subsidy program ""could save up to $28.4 billion over ten years that could be used to reduce the deficit.""","ending the direct payment farm subsidy program ""could save up to $28.4 billion over ten years that could be used to reduce the deficit."""
67779,genuine,PolitiFact,"Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker.","budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker."
69538,misleading,PolitiFact,Says many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.
68989,misleading,PolitiFact,"Says a new national poll shows ""the majority of the American people believe we should have a gold standard"" for U.S. currency.","a new national poll shows ""the majority of the American people believe we should have a gold standard"" for U.S. currency."
70408,misleading,PolitiFact,"Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the state's unemployment rate was ""the lowest in the country for 40 consecutive months.""","when he was governor, Wisconsin cut unemployment to 2.1 percent and the state's unemployment rate was ""the lowest in the country for 40 consecutive months."""
70820,misleading,PolitiFact,"Says the U.S. Senate has passed ""a budget"" over the last three years ""called the Budget Control Act.""","the U.S. Senate has passed ""a budget"" over the last three years ""called the Budget Control Act."""
70435,genuine,PolitiFact,"Says the United States ""actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.""","the United States ""actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949."""
59038,misleading,PolitiFact,"Says Gov. Ron DeSantis ""opposed my China tariffs and he heartlessly opposed"" $28 billion for farm relief, which was paid for by China.","Gov. Ron DeSantis ""opposed my China tariffs and he heartlessly opposed"" $28 billion for farm relief, which was paid for by China."
71134,genuine,PolitiFact,Says spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget,spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget
64910,misleading,PolitiFact,"Says he faced ""a record budget deficit"" in Virginia in 2014.","he faced ""a record budget deficit"" in Virginia in 2014."
70630,misleading,PolitiFact,"Says raising the state income tax rate on millionaires to offset property taxes for other residents is ""not a tax increase. It's a tax shift.""","raising the state income tax rate on millionaires to offset property taxes for other residents is ""not a tax increase. It's a tax shift."""
70697,genuine,PolitiFact,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.,the top 20 percent of income earners pay nearly 70 percent of all federal taxes.
69158,misleading,PolitiFact,"Says state Senate President Stephen ""Sweeney gave us the nation's highest income tax rates, driving out jobs.""","state Senate President Stephen ""Sweeney gave us the nation's highest income tax rates, driving out jobs."""
61714,misleading,PolitiFact,"Says North Carolina's average teacher salary was at the national average ""back when I was in public school.""","North Carolina's average teacher salary was at the national average ""back when I was in public school."""
71751,misleading,PolitiFact,"Says Charlie Crist ""voted against minimum wage when he was in the Senate.""","Charlie Crist ""voted against minimum wage when he was in the Senate."""
68176,misleading,PolitiFact,"Says U.S. Rep. Martin Heinrich ""spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.""","U.S. Rep. Martin Heinrich ""spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas."""
69652,genuine,PolitiFact,Says six of the state's 58 family planning centers had to close because of Gov. Chris Christie's budget cuts.,six of the state's 58 family planning centers had to close because of Gov. Chris Christie's budget cuts.
69213,misleading,PolitiFact,"Says he's ""never asked for more"" than inflationary budget increases in his 10 budgets as Milwaukee County sheriff","he's ""never asked for more"" than inflationary budget increases in his 10 budgets as Milwaukee County sheriff"
70199,genuine,PolitiFact,Says Barack Obama promised to halve the deficit in his first term.,Barack Obama promised to halve the deficit in his first term.
69755,misleading,PolitiFact,"Says Wisconsin Gov. Scott Walker ""literally invented a $3.6 billion deficit.""","Wisconsin Gov. Scott Walker ""literally invented a $3.6 billion deficit."""
70479,misleading,PolitiFact,"Says the stimulus bill sent tax credits overseas, such as ""half a billion to an electric car company that created hundreds of jobs in Finland.""","the stimulus bill sent tax credits overseas, such as ""half a billion to an electric car company that created hundreds of jobs in Finland."""
70387,genuine,PolitiFact,"Says he ""cut taxes by more than $600 million"" when he was governor.","he ""cut taxes by more than $600 million"" when he was governor."
63652,misleading,PolitiFact,"Says President Barack Obama ""tax audit exposes MILLIONS in offshore accounts stolen from taxpayers.""","President Barack Obama ""tax audit exposes MILLIONS in offshore accounts stolen from taxpayers."""
69782,misleading,PolitiFact,"Says President Barack Obama's debt commission recommended converting Medicare ""to a system where Medicare participants are given a voucher to purchase insurance in the private market.""","President Barack Obama's debt commission recommended converting Medicare ""to a system where Medicare participants are given a voucher to purchase insurance in the private market."""
64541,misleading,PolitiFact,"Says Ted Strickland admits his record on jobs and taxes is ""mixed and spotty.""","Ted Strickland admits his record on jobs and taxes is ""mixed and spotty."""
73221,misleading,PolitiFact,Says Rick Kriseman is $35 million over budget on St. Petersburg's new police station.,Rick Kriseman is $35 million over budget on St. Petersburg's new police station.
69031,genuine,PolitiFact,"Says ""our unemployment insurance trust fund is broke. We're over a billion dollars in debt to the federal government.""","""our unemployment insurance trust fund is broke. We're over a billion dollars in debt to the federal government."""
68245,misleading,PolitiFact,"Says President Barack Obama ""doubled the national debt, which had taken more than two centuries to accumulate, in one year.""","President Barack Obama ""doubled the national debt, which had taken more than two centuries to accumulate, in one year."""
67991,misleading,PolitiFact,"Says 7,000 millionaires ""gamed the system to pay no income taxes.""","7,000 millionaires ""gamed the system to pay no income taxes."""
72752,misleading,PolitiFact,"Says Hillary Clinton's energy agenda ""will cost the U.S. economy over $5 trillion""","Hillary Clinton's energy agenda ""will cost the U.S. economy over $5 trillion"""
61756,misleading,PolitiFact,"Says President Trump donated his ""second quarter salary to rebuild military cemeteries"" and that the media ignored it and every other story of him donating his salary as POTUS.","President Trump donated his ""second quarter salary to rebuild military cemeteries"" and that the media ignored it and every other story of him donating his salary as POTUS."
62571,misleading,PolitiFact,"Says ""J.B. Pritzker's tax plan"" includes a ""new tax per mile you drive with government tracking device.""","""J.B. Pritzker's tax plan"" includes a ""new tax per mile you drive with government tracking device."""
60934,misleading,PolitiFact,"Says since he and President Trump took office, their policies ""led to an unemployment rate of 3.1% in Wisconsin and 61,000 Wisconsin jobs, including 15,000 manufacturing jobs.""","since he and President Trump took office, their policies ""led to an unemployment rate of 3.1% in Wisconsin and 61,000 Wisconsin jobs, including 15,000 manufacturing jobs."""
68846,misleading,PolitiFact,"Says that as Wisconsin governor he ""never raised taxes.""","as Wisconsin governor he ""never raised taxes."""
61921,misleading,PolitiFact,"Says congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise.","congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise."
67870,misleading,PolitiFact,"Says that ""when Congressman Cohen took office in 2007, the unemployment rate was at 4.8 percent. The unemployment rate in Shelby County has reached 9.7 percent.""","""when Congressman Cohen took office in 2007, the unemployment rate was at 4.8 percent. The unemployment rate in Shelby County has reached 9.7 percent."""
70546,misleading,PolitiFact,"Says Gov. Scott Walker made ""draconian cuts"" to public safety budgets that put police officers at ""greater risk of harm.""","Gov. Scott Walker made ""draconian cuts"" to public safety budgets that put police officers at ""greater risk of harm."""
68280,misleading,PolitiFact,"Says President Barack Obama ""has not raised taxes.""","President Barack Obama ""has not raised taxes."""
75145,misleading,PolitiFact,"Says Joe Biden and Kamala Harris ""want massive tax hikes on working families.""","Joe Biden and Kamala Harris ""want massive tax hikes on working families."""
65562,misleading,PolitiFact,"Says Gov. Scott Walker's proposed budget ""would sell off Wisconsin's state parks.""","Gov. Scott Walker's proposed budget ""would sell off Wisconsin's state parks."""
64058,genuine,PolitiFact,"Says Warren Buffett has publicly said his secretary ""should not be paying a higher tax rate"" than him.","Warren Buffett has publicly said his secretary ""should not be paying a higher tax rate"" than him."
64009,misleading,PolitiFact,"Says Democratic challenger for his N.C. House seat ""raised taxes on clothing, school supplies – even baby diapers!""","Democratic challenger for his N.C. House seat ""raised taxes on clothing, school supplies – even baby diapers!"""
64072,genuine,PolitiFact,"Says Donald Trump's tax plan gives the wealthy and corporations ""more than the Bush tax cuts by at least a factor of two.""","Donald Trump's tax plan gives the wealthy and corporations ""more than the Bush tax cuts by at least a factor of two."""
64231,misleading,PolitiFact,"Says Hillary Clinton ""wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than they're paying now.""","Hillary Clinton ""wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than they're paying now."""
64135,genuine,PolitiFact,Says a change in law he carried stopped a $100 million tax increase in the Dallas school district.,a change in law he carried stopped a $100 million tax increase in the Dallas school district.
65442,misleading,PolitiFact,"Says the estate tax, ""in many cases,"" forces family farmers and small businesses owners to sell their holdings.","the estate tax, ""in many cases,"" forces family farmers and small businesses owners to sell their holdings."
67745,misleading,PolitiFact,"Says ""our economy in New Jersey gets $38 billion from the businesses at the Shore.""","""our economy in New Jersey gets $38 billion from the businesses at the Shore."""
68672,misleading,PolitiFact,"Says ""for the duration of this recession not a single person in government middle management has lost job or taken a pay cut.""","""for the duration of this recession not a single person in government middle management has lost job or taken a pay cut."""
65311,genuine,PolitiFact,"Says his release of 33 years of tax returns is ""more than any presidential candidate in history.""","his release of 33 years of tax returns is ""more than any presidential candidate in history."""
68514,misleading,PolitiFact,"Says Gov. Scott Walker approved a ""gutting"" of two tax credits that help the poor and elderly.","Gov. Scott Walker approved a ""gutting"" of two tax credits that help the poor and elderly."
68183,misleading,PolitiFact,"Says President Obama said of the national debt, ""If I don't have this done in three years, then there's going to be a one-term proposition.""","President Obama said of the national debt, ""If I don't have this done in three years, then there's going to be a one-term proposition."""
68444,misleading,PolitiFact,"Says Gov. Scott Walker ""took away $1.6 billion from schools and handed it off as over $2 billion in tax breaks to the rich.""","Gov. Scott Walker ""took away $1.6 billion from schools and handed it off as over $2 billion in tax breaks to the rich."""
62924,misleading,PolitiFact,"Says Sen. Jon Tester ""took an income raise in the omnibus bill.""","Sen. Jon Tester ""took an income raise in the omnibus bill."""
66967,misleading,PolitiFact,"Says under President Barack Obama, the debt increased by 23 percent, which was less than under any president going back to Ronald Reagan.","under President Barack Obama, the debt increased by 23 percent, which was less than under any president going back to Ronald Reagan."
67475,genuine,PolitiFact,"Says ""a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.""","""a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year."""
70647,misleading,PolitiFact,"Says Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate.","Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate."
67727,genuine,PolitiFact,"Says his transportation plan ""would make Virginia the first state in the nation to eliminate the state tax on gasoline.""","his transportation plan ""would make Virginia the first state in the nation to eliminate the state tax on gasoline."""
73070,misleading,PolitiFact,"Says Eric Trump said, ""My father's tax return is irrelevant because we're going to cancel taxes for WEALTHY people anyway.""","Eric Trump said, ""My father's tax return is irrelevant because we're going to cancel taxes for WEALTHY people anyway."""
67775,genuine,PolitiFact,Says Texas has the 15th largest economy in the world.,Texas has the 15th largest economy in the world.
70908,misleading,PolitiFact,Says Texas economy is about 30 percent larger than Australia's.,Texas economy is about 30 percent larger than Australia's.
67791,genuine,PolitiFact,Says he has never voted for raising taxes.,he has never voted for raising taxes.
70667,misleading,PolitiFact,"Says he never voted for a ""tax increase.""","he never voted for a ""tax increase."""
67822,genuine,PolitiFact,"Says that ""Tennessee law requires that schools receive half of proceeds -- $31 million per year"" -- from a half-cent increase in the Shelby County sales tax.","""Tennessee law requires that schools receive half of proceeds -- $31 million per year"" -- from a half-cent increase in the Shelby County sales tax."
68102,misleading,PolitiFact,"Says Gov. Chris Christie has embarked on a tour to ""demand that New Jersey's Democratic legislature approve an immediate tax cut that would disproportionately benefit the wealthiest.""","Gov. Chris Christie has embarked on a tour to ""demand that New Jersey's Democratic legislature approve an immediate tax cut that would disproportionately benefit the wealthiest."""
68084,genuine,PolitiFact,"Says U.S. Rep. Paul Ryan attacked the president for ""the same amount of Medicare savings that had in his own budget.""","U.S. Rep. Paul Ryan attacked the president for ""the same amount of Medicare savings that had in his own budget."""
68177,genuine,PolitiFact,"Says Mitt Romney ""wants to end tax credits for wind producers.""","Mitt Romney ""wants to end tax credits for wind producers."""
68181,genuine,PolitiFact,Says Paul Ryan's budget relies on the same $700 billion in savings from Medicare that Mitt Romney and other Republicans have been attacking Democrats about.,Paul Ryan's budget relies on the same $700 billion in savings from Medicare that Mitt Romney and other Republicans have been attacking Democrats about.
67493,misleading,PolitiFact,"Says that his transportation budget and Ohio Turnpike plan ""would make sure we have lower tolls than we've had through the history of the turnpike.""","his transportation budget and Ohio Turnpike plan ""would make sure we have lower tolls than we've had through the history of the turnpike."""
70544,misleading,PolitiFact,"Says ""city leadership is threatening to lay off police and emergency services personnel to balance the budget.""","""city leadership is threatening to lay off police and emergency services personnel to balance the budget."""
68273,genuine,PolitiFact,"Says Jim Frishe wanted to ""tax us for doing our taxes"" through an accountant.","Jim Frishe wanted to ""tax us for doing our taxes"" through an accountant."
68277,genuine,PolitiFact,Says New Hampshire has the third-highest property tax in the country.,New Hampshire has the third-highest property tax in the country.
66058,misleading,PolitiFact,"Says Thom Tillis ""gives tax breaks to yacht and jet owners.""","Thom Tillis ""gives tax breaks to yacht and jet owners."""
68295,genuine,PolitiFact,"Says Mitt Romney ""had millions in a Swiss bank account.""","Mitt Romney ""had millions in a Swiss bank account."""
77312,misleading,PolitiFact,Says President Joe Biden was recorded talking about bank collapse.,President Joe Biden was recorded talking about bank collapse.
68299,genuine,PolitiFact,"Says Mitt Romney had millions in the Cayman Islands, a tax haven.","Mitt Romney had millions in the Cayman Islands, a tax haven."
61761,misleading,PolitiFact,"Says Democrats ""spent $40,000,000 of YOUR tax dollars trying to impeach Trump.""","Democrats ""spent $40,000,000 of YOUR tax dollars trying to impeach Trump."""
68761,genuine,PolitiFact,Says local Texas chambers of commerce were granted exemptions from paying property taxes on their headquarter properties.,local Texas chambers of commerce were granted exemptions from paying property taxes on their headquarter properties.
68934,genuine,PolitiFact,"Says she got unions to agree to ""about $10 million in reduction"" of salaries and health benefits while serving as Dane County executive in Wisconsin.","she got unions to agree to ""about $10 million in reduction"" of salaries and health benefits while serving as Dane County executive in Wisconsin."
70179,misleading,PolitiFact,"Says unemployment in Ohio ""is significantly higher than the unemployment rate in states which are not forced union states and it's always been that way.""","unemployment in Ohio ""is significantly higher than the unemployment rate in states which are not forced union states and it's always been that way."""
69048,genuine,PolitiFact,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.
69425,genuine,PolitiFact,"Says GOP recall challenger Kim Simac ""was delinquent paying her property taxes eight of the last nine years.""","GOP recall challenger Kim Simac ""was delinquent paying her property taxes eight of the last nine years."""
66661,misleading,PolitiFact,"Says Milwaukee Mayor Tom Barrett is responsible for the roughly $7,800 ""I pay in property taxes per year.""","Milwaukee Mayor Tom Barrett is responsible for the roughly $7,800 ""I pay in property taxes per year."""
67078,misleading,PolitiFact,"Says U.S. Rep. Tom Price is sending letters both supporting and opposing the ""small-business killing Internet Tax Mandate.""","U.S. Rep. Tom Price is sending letters both supporting and opposing the ""small-business killing Internet Tax Mandate."""
68358,misleading,PolitiFact,Says Ann Kuster said the debate over America's debt limit is not an important issue of the day.,Ann Kuster said the debate over America's debt limit is not an important issue of the day.
69645,genuine,PolitiFact,Says he's signed a pledge not to raise taxes four times.,he's signed a pledge not to raise taxes four times.
69882,genuine,PolitiFact,Says the state budget includes spending on commercials for Fortune 500 companies.,the state budget includes spending on commercials for Fortune 500 companies.
70028,misleading,PolitiFact,"Says U.S. Rep. Paul Ryan's budget proposal ""eliminates Medicare"" in 10 years.","U.S. Rep. Paul Ryan's budget proposal ""eliminates Medicare"" in 10 years."
68492,misleading,PolitiFact,"Says in regard to providing ""more tax cuts for the rich,"" Bill Pascrell said, ""Republicans had great ideas. I liked some of their ideas.""","in regard to providing ""more tax cuts for the rich,"" Bill Pascrell said, ""Republicans had great ideas. I liked some of their ideas."""
70118,genuine,PolitiFact,"Says his proposed payroll tax cut ""will mean an extra $1,500 in your pocket compared to if we do nothing.""","his proposed payroll tax cut ""will mean an extra $1,500 in your pocket compared to if we do nothing."""
70488,genuine,PolitiFact,"Says Mitt Romney is proposing a ""tax cut that gives an average of $250,000 to every millionaire in this country.""","Mitt Romney is proposing a ""tax cut that gives an average of $250,000 to every millionaire in this country."""
70474,misleading,PolitiFact,"Says ""I worked with our Mayor and other commissioners to help save the school year when a budget crisis in Salem threatened to cut four weeks of the school year,"" including negotiating with teachers to work for free.","""I worked with our Mayor and other commissioners to help save the school year when a budget crisis in Salem threatened to cut four weeks of the school year,"" including negotiating with teachers to work for free."
71766,genuine,PolitiFact,"Says Sen. Rand Paul's 2011 budget ""included a big cut in the CDC.""","Sen. Rand Paul's 2011 budget ""included a big cut in the CDC."""
69439,misleading,PolitiFact,Says Democrats cut $35 million from the state budget for Information Technology improvements.,Democrats cut $35 million from the state budget for Information Technology improvements.
74434,misleading,PolitiFact,"Says the California congressional district he represents ""has a higher GDP than Russia.""","the California congressional district he represents ""has a higher GDP than Russia."""
72093,genuine,PolitiFact,"Says Ron Johnson ""opposes entirely a federal minimum wage,"" except perhaps for ""guest workers.""","Ron Johnson ""opposes entirely a federal minimum wage,"" except perhaps for ""guest workers."""
65722,misleading,PolitiFact,"Says President Barack Obama has ""not proposed one thing that would change"" the fact that Warren Buffett pays a lower tax rate than his secretary.","President Barack Obama has ""not proposed one thing that would change"" the fact that Warren Buffett pays a lower tax rate than his secretary."
70790,misleading,PolitiFact,"Says U.S. Senate opponent Tammy Baldwin supported a federal budget ""that spent trillions -- not billions, trillions -- more money than the Obama budget.""","U.S. Senate opponent Tammy Baldwin supported a federal budget ""that spent trillions -- not billions, trillions -- more money than the Obama budget."""
73001,genuine,PolitiFact,"Says condoms ""used to be tax-exempt here in Texas.""","condoms ""used to be tax-exempt here in Texas."""
70200,misleading,PolitiFact,"Says his 9-9-9 tax reform plan is not ""regressive.""","his 9-9-9 tax reform plan is not ""regressive."""
60978,misleading,PolitiFact,"Says Joe Biden is proposing a tax increase that's ""the largest in American history.""","Joe Biden is proposing a tax increase that's ""the largest in American history."""
73697,genuine,PolitiFact,"Says he's a ""small-town supervisor who has kept a balanced budget, who has increased surpluses, who has led us to the highest credit rating our town has ever had.""","he's a ""small-town supervisor who has kept a balanced budget, who has increased surpluses, who has led us to the highest credit rating our town has ever had."""
68674,misleading,PolitiFact,"Says ""new estimates from the Congressional Budget Office conclude the final price-tag"" for the health care law ""will exceed $2 trillion — more than double what was initially reported.""","""new estimates from the Congressional Budget Office conclude the final price-tag"" for the health care law ""will exceed $2 trillion — more than double what was initially reported."""
70675,misleading,PolitiFact,"Says Ron Saunders ""made the choice to stand with Rick Scott"" on expanding school vouchers, restricting scholarships and giving tax breaks to the wealthy.","Ron Saunders ""made the choice to stand with Rick Scott"" on expanding school vouchers, restricting scholarships and giving tax breaks to the wealthy."
70764,misleading,PolitiFact,"Says ""the governor is going around the state talking about we should fund an income tax cut"" that benefits higher income earners and not lower income earners","""the governor is going around the state talking about we should fund an income tax cut"" that benefits higher income earners and not lower income earners"
