split,matched_pair_id,misleading_id,genuine_id,misleading_topic,genuine_topic,exact_topic_match,misleading_word_count,genuine_word_count,absolute_word_difference
train,train_pair_0001,2004,2626,other_finance,other_finance,True,11,11,0
train,train_pair_0002,17032,13331,trade,trade,True,10,9,1
train,train_pair_0003,16491,4764,trade,trade,True,13,15,2
train,train_pair_0004,16317,12143,trade,trade,True,15,16,1
train,train_pair_0005,16443,12152,trade,trade,True,16,16,0
train,train_pair_0006,12773,14939,trade,trade,True,18,17,1
train,train_pair_0007,3035,3247,trade,trade,True,27,25,2
train,train_pair_0008,5307,11970,business_and_markets,business_and_markets,True,7,8,1
train,train_pair_0009,14261,4575,business_and_markets,business_and_markets,True,8,10,2
train,train_pair_0010,1000,64,business_and_markets,business_and_markets,True,9,12,3
train,train_pair_0011,3072,10738,business_and_markets,business_and_markets,True,9,15,6
train,train_pair_0012,17475,496,business_and_markets,business_and_markets,True,12,19,7
train,train_pair_0013,13799,920,business_and_markets,business_and_markets,True,14,21,7
train,train_pair_0014,1847,16581,business_and_markets,business_and_markets,True,24,24,0
train,train_pair_0015,9192,1021,business_and_markets,business_and_markets,True,27,28,1
train,train_pair_0016,700,3721,business_and_markets,business_and_markets,True,28,26,2
train,train_pair_0017,4614,6623,banking_and_credit,banking_and_credit,True,8,9,1
train,train_pair_0018,22788,6591,banking_and_credit,banking_and_credit,True,8,10,2
train,train_pair_0019,4112,2022,banking_and_credit,banking_and_credit,True,10,11,1
train,train_pair_0020,2715,5658,banking_and_credit,banking_and_credit,True,12,11,1
train,train_pair_0021,1801,15609,banking_and_credit,banking_and_credit,True,13,13,0
train,train_pair_0022,4761,7513,banking_and_credit,banking_and_credit,True,13,15,2
train,train_pair_0023,4932,1660,banking_and_credit,banking_and_credit,True,14,16,2
train,train_pair_0024,21910,7664,banking_and_credit,banking_and_credit,True,21,21,0
train,train_pair_0025,120,14714,banking_and_credit,banking_and_credit,True,29,27,2
train,train_pair_0026,11329,13030,banking_and_credit,banking_and_credit,True,31,37,6
train,train_pair_0027,15586,11496,banking_and_credit,banking_and_credit,True,32,38,6
train,train_pair_0028,1651,992,banking_and_credit,taxation,False,39,39,0
train,train_pair_0029,2654,7202,social_welfare,social_welfare,True,6,11,5
train,train_pair_0030,1426,8486,social_welfare,social_welfare,True,7,12,5
train,train_pair_0031,9425,10612,social_welfare,social_welfare,True,8,12,4
train,train_pair_0032,3414,4241,social_welfare,social_welfare,True,9,13,4
train,train_pair_0033,15037,12651,social_welfare,social_welfare,True,9,14,5
train,train_pair_0034,17659,8743,social_welfare,social_welfare,True,10,15,5
train,train_pair_0035,12333,4273,social_welfare,social_welfare,True,11,16,5
train,train_pair_0036,2213,5098,social_welfare,social_welfare,True,12,17,5
train,train_pair_0037,2605,12826,social_welfare,social_welfare,True,12,17,5
train,train_pair_0038,9331,22012,social_welfare,social_welfare,True,12,17,5
train,train_pair_0039,10550,1436,social_welfare,social_welfare,True,12,19,7
train,train_pair_0040,12816,4239,social_welfare,social_welfare,True,12,19,7
train,train_pair_0041,17511,79,social_welfare,public_finance,False,12,12,0
train,train_pair_0042,6245,10253,social_welfare,social_welfare,True,13,22,9
train,train_pair_0043,16570,9,social_welfare,taxation,False,13,13,0
train,train_pair_0044,21845,440,social_welfare,taxation,False,13,13,0
train,train_pair_0045,1007,582,social_welfare,taxation,False,14,14,0
train,train_pair_0046,15360,10,social_welfare,labour_and_income,False,15,15,0
train,train_pair_0047,2320,882,social_welfare,public_finance,False,16,16,0
train,train_pair_0048,15853,1392,social_welfare,social_welfare,True,17,26,9
train,train_pair_0049,17171,2809,social_welfare,social_welfare,True,17,26,9
train,train_pair_0050,16955,727,social_welfare,taxation,False,18,18,0
train,train_pair_0051,1806,809,social_welfare,public_finance,False,19,19,0
train,train_pair_0052,12545,1390,social_welfare,labour_and_income,False,19,19,0
train,train_pair_0053,12879,2627,social_welfare,public_finance,False,19,19,0
train,train_pair_0054,18277,2639,social_welfare,taxation,False,19,19,0
train,train_pair_0055,22245,706,social_welfare,taxation,False,20,20,0
train,train_pair_0056,2250,240,social_welfare,taxation,False,21,21,0
train,train_pair_0057,2768,6012,social_welfare,social_welfare,True,23,31,8
train,train_pair_0058,2745,12881,social_welfare,social_welfare,True,24,32,8
train,train_pair_0059,2557,503,social_welfare,public_finance,False,25,25,0
train,train_pair_0060,22160,1507,social_welfare,social_welfare,True,29,35,6
train,train_pair_0061,1061,2843,social_welfare,social_welfare,True,33,41,8
train,train_pair_0062,1024,2927,social_welfare,taxation,False,35,35,0
train,train_pair_0063,6500,3805,social_welfare,public_finance,False,35,35,0
train,train_pair_0064,2580,80,macroeconomy,macroeconomy,True,5,8,3
train,train_pair_0065,10845,303,macroeconomy,macroeconomy,True,7,8,1
train,train_pair_0066,1918,22,macroeconomy,macroeconomy,True,9,9,0
train,train_pair_0067,9139,53,macroeconomy,macroeconomy,True,9,9,0
train,train_pair_0068,11402,7732,macroeconomy,macroeconomy,True,9,9,0
train,train_pair_0069,352,4684,macroeconomy,macroeconomy,True,10,10,0
train,train_pair_0070,4086,6757,macroeconomy,macroeconomy,True,10,10,0
train,train_pair_0071,6763,10069,macroeconomy,macroeconomy,True,10,10,0
train,train_pair_0072,1210,1655,macroeconomy,macroeconomy,True,11,11,0
train,train_pair_0073,2686,2764,macroeconomy,macroeconomy,True,11,11,0
train,train_pair_0074,8157,6006,macroeconomy,macroeconomy,True,11,11,0
train,train_pair_0075,15531,2328,macroeconomy,macroeconomy,True,12,12,0
train,train_pair_0076,21842,6744,macroeconomy,macroeconomy,True,12,12,0
train,train_pair_0077,6649,734,macroeconomy,macroeconomy,True,13,13,0
train,train_pair_0078,21761,2985,macroeconomy,macroeconomy,True,13,13,0
train,train_pair_0079,233,16140,macroeconomy,macroeconomy,True,14,14,0
train,train_pair_0080,4835,689,macroeconomy,macroeconomy,True,14,15,1
train,train_pair_0081,19698,6892,macroeconomy,macroeconomy,True,14,15,1
train,train_pair_0082,1462,8933,macroeconomy,macroeconomy,True,15,15,0
train,train_pair_0083,6767,10573,macroeconomy,macroeconomy,True,15,15,0
train,train_pair_0084,13393,20415,macroeconomy,macroeconomy,True,15,15,0
train,train_pair_0085,19633,7109,macroeconomy,macroeconomy,True,15,16,1
train,train_pair_0086,21536,8131,macroeconomy,macroeconomy,True,15,16,1
train,train_pair_0087,13443,8438,macroeconomy,macroeconomy,True,16,16,0
train,train_pair_0088,21626,11132,macroeconomy,macroeconomy,True,16,16,0
train,train_pair_0089,410,758,macroeconomy,macroeconomy,True,17,17,0
train,train_pair_0090,7076,2947,macroeconomy,macroeconomy,True,17,17,0
train,train_pair_0091,10198,9121,macroeconomy,macroeconomy,True,17,17,0
train,train_pair_0092,10227,2633,macroeconomy,macroeconomy,True,17,18,1
train,train_pair_0093,2669,8479,macroeconomy,macroeconomy,True,18,18,0
train,train_pair_0094,20091,5765,macroeconomy,macroeconomy,True,18,19,1
train,train_pair_0095,21737,951,macroeconomy,macroeconomy,True,18,20,2
train,train_pair_0096,21537,2020,macroeconomy,macroeconomy,True,19,20,1
train,train_pair_0097,11895,4506,macroeconomy,macroeconomy,True,20,20,0
train,train_pair_0098,20037,10627,macroeconomy,macroeconomy,True,21,21,0
train,train_pair_0099,2775,6731,macroeconomy,macroeconomy,True,22,22,0
train,train_pair_0100,4978,11913,macroeconomy,macroeconomy,True,22,22,0
train,train_pair_0101,21136,572,macroeconomy,macroeconomy,True,23,23,0
train,train_pair_0102,4756,4317,macroeconomy,macroeconomy,True,25,25,0
train,train_pair_0103,1237,11948,macroeconomy,macroeconomy,True,26,25,1
train,train_pair_0104,17316,4359,macroeconomy,macroeconomy,True,26,28,2
train,train_pair_0105,3798,868,macroeconomy,macroeconomy,True,34,34,0
train,train_pair_0106,10214,21293,macroeconomy,macroeconomy,True,38,37,1
train,train_pair_0107,17237,15464,macroeconomy,macroeconomy,True,47,51,4
train,train_pair_0108,2719,5216,labour_and_income,labour_and_income,True,6,6,0
train,train_pair_0109,9475,1263,labour_and_income,labour_and_income,True,6,7,1
train,train_pair_0110,12154,8547,labour_and_income,labour_and_income,True,6,7,1
train,train_pair_0111,2923,9316,labour_and_income,labour_and_income,True,7,7,0
train,train_pair_0112,11497,13958,labour_and_income,labour_and_income,True,7,7,0
train,train_pair_0113,18743,16824,labour_and_income,labour_and_income,True,7,7,0
train,train_pair_0114,2671,3857,labour_and_income,labour_and_income,True,8,8,0
train,train_pair_0115,3765,2344,labour_and_income,labour_and_income,True,8,9,1
train,train_pair_0116,4571,3912,labour_and_income,labour_and_income,True,8,9,1
train,train_pair_0117,12484,6181,labour_and_income,labour_and_income,True,8,9,1
train,train_pair_0118,14862,7073,labour_and_income,labour_and_income,True,8,9,1
train,train_pair_0119,15966,8070,labour_and_income,labour_and_income,True,8,9,1
train,train_pair_0120,3367,3227,labour_and_income,labour_and_income,True,10,10,0
train,train_pair_0121,5597,4793,labour_and_income,labour_and_income,True,10,10,0
train,train_pair_0122,9891,7108,labour_and_income,labour_and_income,True,10,10,0
train,train_pair_0123,10772,8338,labour_and_income,labour_and_income,True,10,10,0
train,train_pair_0124,14805,9115,labour_and_income,labour_and_income,True,10,10,0
train,train_pair_0125,17622,11651,labour_and_income,labour_and_income,True,10,10,0
train,train_pair_0126,19363,16526,labour_and_income,labour_and_income,True,10,10,0
train,train_pair_0127,22716,3,labour_and_income,labour_and_income,True,10,11,1
train,train_pair_0128,2800,1189,labour_and_income,labour_and_income,True,11,11,0
train,train_pair_0129,3311,3165,labour_and_income,labour_and_income,True,11,11,0
train,train_pair_0130,3752,3692,labour_and_income,labour_and_income,True,11,11,0
train,train_pair_0131,6750,3882,labour_and_income,labour_and_income,True,11,11,0
train,train_pair_0132,8613,4192,labour_and_income,labour_and_income,True,11,11,0
train,train_pair_0133,12178,5242,labour_and_income,labour_and_income,True,11,11,0
train,train_pair_0134,15233,5335,labour_and_income,labour_and_income,True,11,11,0
train,train_pair_0135,17034,6594,labour_and_income,labour_and_income,True,11,11,0
train,train_pair_0136,2646,1659,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0137,4022,1979,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0138,4540,2522,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0139,5100,3886,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0140,5322,4805,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0141,5455,4967,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0142,6753,6206,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0143,7214,6310,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0144,8170,6936,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0145,11195,7637,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0146,15117,7818,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0147,15213,8038,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0148,20776,8297,labour_and_income,labour_and_income,True,12,12,0
train,train_pair_0149,2197,2861,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0150,4008,2863,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0151,4042,3048,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0152,7936,3652,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0153,9501,3967,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0154,9552,6660,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0155,10134,6980,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0156,10934,7330,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0157,14627,7565,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0158,18502,7848,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0159,19721,7859,labour_and_income,labour_and_income,True,13,13,0
train,train_pair_0160,666,1122,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0161,4866,1901,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0162,7953,2377,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0163,8883,2412,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0164,8993,2442,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0165,9958,2672,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0166,10888,3159,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0167,12909,3944,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0168,19658,3950,labour_and_income,labour_and_income,True,14,14,0
train,train_pair_0169,1375,411,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0170,2084,624,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0171,2752,1963,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0172,5546,3009,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0173,8065,3176,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0174,8862,3789,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0175,9813,4601,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0176,10314,5720,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0177,13424,7319,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0178,19138,7628,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0179,19439,8451,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0180,20855,8520,labour_and_income,labour_and_income,True,15,15,0
train,train_pair_0181,2281,2448,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0182,3562,4343,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0183,4641,4374,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0184,5124,4747,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0185,5139,5474,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0186,5468,5582,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0187,5493,6015,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0188,6501,6848,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0189,8912,7652,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0190,9476,9656,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0191,10889,13101,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0192,14188,13511,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0193,16583,13734,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0194,17302,14864,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0195,18207,15483,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0196,19252,20222,labour_and_income,labour_and_income,True,16,16,0
train,train_pair_0197,21569,3485,labour_and_income,labour_and_income,True,16,17,1
train,train_pair_0198,8262,3970,labour_and_income,labour_and_income,True,17,17,0
train,train_pair_0199,9683,4458,labour_and_income,labour_and_income,True,17,17,0
train,train_pair_0200,17028,8971,labour_and_income,labour_and_income,True,17,17,0
train,train_pair_0201,18507,10479,labour_and_income,labour_and_income,True,17,17,0
train,train_pair_0202,18684,15019,labour_and_income,labour_and_income,True,17,17,0
train,train_pair_0203,4074,2638,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0204,4472,4824,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0205,5151,7075,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0206,5457,8272,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0207,5714,8741,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0208,5795,8939,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0209,6159,9536,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0210,7496,9537,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0211,7697,9637,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0212,10132,12075,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0213,19286,15629,labour_and_income,labour_and_income,True,18,18,0
train,train_pair_0214,2026,5709,labour_and_income,labour_and_income,True,19,19,0
train,train_pair_0215,7039,6242,labour_and_income,labour_and_income,True,19,19,0
train,train_pair_0216,9524,6706,labour_and_income,labour_and_income,True,19,19,0
train,train_pair_0217,9697,6879,labour_and_income,labour_and_income,True,19,19,0
train,train_pair_0218,15266,6944,labour_and_income,labour_and_income,True,19,19,0
train,train_pair_0219,16737,7032,labour_and_income,labour_and_income,True,19,19,0
train,train_pair_0220,18188,8250,labour_and_income,labour_and_income,True,19,19,0
train,train_pair_0221,1242,1982,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0222,2134,2089,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0223,3728,3181,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0224,4711,3730,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0225,5253,4433,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0226,7626,4623,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0227,9633,4819,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0228,10293,6287,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0229,11511,6732,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0230,16854,7603,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0231,20099,8312,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0232,20355,8740,labour_and_income,labour_and_income,True,20,20,0
train,train_pair_0233,6614,4337,labour_and_income,labour_and_income,True,21,21,0
train,train_pair_0234,8914,5733,labour_and_income,labour_and_income,True,21,21,0
train,train_pair_0235,9030,6473,labour_and_income,labour_and_income,True,21,21,0
train,train_pair_0236,9882,8270,labour_and_income,labour_and_income,True,21,21,0
train,train_pair_0237,4791,2090,labour_and_income,labour_and_income,True,22,22,0
train,train_pair_0238,5075,2323,labour_and_income,labour_and_income,True,22,22,0
train,train_pair_0239,7976,4106,labour_and_income,labour_and_income,True,22,22,0
train,train_pair_0240,14959,4952,labour_and_income,labour_and_income,True,22,22,0
train,train_pair_0241,16389,6051,labour_and_income,labour_and_income,True,22,22,0
train,train_pair_0242,18076,6994,labour_and_income,labour_and_income,True,22,22,0
train,train_pair_0243,20706,8306,labour_and_income,labour_and_income,True,22,22,0
train,train_pair_0244,4392,1277,labour_and_income,labour_and_income,True,23,23,0
train,train_pair_0245,7263,5180,labour_and_income,labour_and_income,True,23,23,0
train,train_pair_0246,12167,5808,labour_and_income,labour_and_income,True,23,23,0
train,train_pair_0247,2468,5349,labour_and_income,labour_and_income,True,24,24,0
train,train_pair_0248,8084,8203,labour_and_income,labour_and_income,True,24,24,0
train,train_pair_0249,8817,8394,labour_and_income,labour_and_income,True,24,24,0
train,train_pair_0250,10378,8742,labour_and_income,labour_and_income,True,24,24,0
train,train_pair_0251,10669,10804,labour_and_income,labour_and_income,True,24,24,0
train,train_pair_0252,12271,11172,labour_and_income,labour_and_income,True,24,24,0
train,train_pair_0253,14012,12809,labour_and_income,labour_and_income,True,24,24,0
train,train_pair_0254,3589,1993,labour_and_income,labour_and_income,True,25,25,0
train,train_pair_0255,4609,4905,labour_and_income,labour_and_income,True,25,25,0
train,train_pair_0256,8432,5212,labour_and_income,labour_and_income,True,25,25,0
train,train_pair_0257,12236,10331,labour_and_income,labour_and_income,True,25,25,0
train,train_pair_0258,3055,210,labour_and_income,labour_and_income,True,26,26,0
train,train_pair_0259,5290,5029,labour_and_income,labour_and_income,True,26,26,0
train,train_pair_0260,8360,6256,labour_and_income,labour_and_income,True,26,26,0
train,train_pair_0261,9110,6423,labour_and_income,labour_and_income,True,26,26,0
train,train_pair_0262,9268,8463,labour_and_income,labour_and_income,True,26,26,0
train,train_pair_0263,6604,3283,labour_and_income,labour_and_income,True,27,27,0
train,train_pair_0264,10473,3517,labour_and_income,labour_and_income,True,27,27,0
train,train_pair_0265,14849,4256,labour_and_income,labour_and_income,True,27,27,0
train,train_pair_0266,16772,4927,labour_and_income,labour_and_income,True,27,27,0
train,train_pair_0267,18654,5813,labour_and_income,labour_and_income,True,27,27,0
train,train_pair_0268,4588,3149,labour_and_income,labour_and_income,True,28,28,0
train,train_pair_0269,16018,3875,labour_and_income,labour_and_income,True,28,28,0
train,train_pair_0270,4843,3110,labour_and_income,labour_and_income,True,29,29,0
train,train_pair_0271,6585,4327,labour_and_income,labour_and_income,True,29,29,0
train,train_pair_0272,11260,1914,labour_and_income,labour_and_income,True,30,30,0
train,train_pair_0273,13544,4146,labour_and_income,labour_and_income,True,30,30,0
train,train_pair_0274,12068,2900,labour_and_income,labour_and_income,True,31,31,0
train,train_pair_0275,14364,3693,labour_and_income,labour_and_income,True,33,32,1
train,train_pair_0276,12575,5967,labour_and_income,labour_and_income,True,36,35,1
train,train_pair_0277,1736,5685,labour_and_income,labour_and_income,True,37,38,1
train,train_pair_0278,6711,2198,labour_and_income,labour_and_income,True,39,39,0
train,train_pair_0279,8828,5764,labour_and_income,labour_and_income,True,39,38,1
train,train_pair_0280,7194,16587,labour_and_income,labour_and_income,True,40,40,0
train,train_pair_0281,17894,13937,labour_and_income,labour_and_income,True,45,45,0
train,train_pair_0282,4455,2683,public_finance,public_finance,True,5,6,1
train,train_pair_0283,13111,3894,public_finance,public_finance,True,6,6,0
train,train_pair_0284,22486,10457,public_finance,public_finance,True,6,6,0
train,train_pair_0285,6434,3965,public_finance,public_finance,True,7,7,0
train,train_pair_0286,6522,9865,public_finance,public_finance,True,7,7,0
train,train_pair_0287,834,638,public_finance,public_finance,True,8,8,0
train,train_pair_0288,1376,2951,public_finance,public_finance,True,8,8,0
train,train_pair_0289,3462,3173,public_finance,public_finance,True,8,8,0
train,train_pair_0290,3745,3629,public_finance,public_finance,True,8,8,0
train,train_pair_0291,3968,4570,public_finance,public_finance,True,8,8,0
train,train_pair_0292,4960,5930,public_finance,public_finance,True,8,8,0
train,train_pair_0293,5167,6579,public_finance,public_finance,True,8,8,0
train,train_pair_0294,7631,10712,public_finance,public_finance,True,8,8,0
train,train_pair_0295,8916,11121,public_finance,public_finance,True,8,8,0
train,train_pair_0296,9565,850,public_finance,public_finance,True,8,9,1
train,train_pair_0297,9576,1427,public_finance,public_finance,True,8,9,1
train,train_pair_0298,1567,1463,public_finance,public_finance,True,9,9,0
train,train_pair_0299,1850,1750,public_finance,public_finance,True,9,9,0
train,train_pair_0300,2260,2002,public_finance,public_finance,True,9,9,0
train,train_pair_0301,3481,3469,public_finance,public_finance,True,9,9,0
train,train_pair_0302,3854,6418,public_finance,public_finance,True,9,9,0
train,train_pair_0303,6278,8258,public_finance,public_finance,True,9,9,0
train,train_pair_0304,9245,1261,public_finance,public_finance,True,9,10,1
train,train_pair_0305,14292,2773,public_finance,public_finance,True,9,10,1
train,train_pair_0306,17495,4495,public_finance,public_finance,True,9,10,1
train,train_pair_0307,19210,5437,public_finance,public_finance,True,9,10,1
train,train_pair_0308,20718,6409,public_finance,public_finance,True,9,10,1
train,train_pair_0309,870,7136,public_finance,public_finance,True,10,10,0
train,train_pair_0310,2251,12866,public_finance,public_finance,True,10,10,0
train,train_pair_0311,2477,1891,public_finance,public_finance,True,10,11,1
train,train_pair_0312,3170,2644,public_finance,public_finance,True,10,11,1
train,train_pair_0313,4244,3119,public_finance,public_finance,True,10,11,1
train,train_pair_0314,5089,3411,public_finance,public_finance,True,10,11,1
train,train_pair_0315,19427,4115,public_finance,public_finance,True,10,11,1
train,train_pair_0316,22036,6038,public_finance,public_finance,True,10,11,1
