dataset,repetition,outer_seed,outer_fold,model,ngram_range,min_df,C
liar2_finance,1,11,1,text_only,1-2,1,1.0
liar2_finance,1,11,1,emotion_aware,1-2,2,1.0
liar2_finance,1,11,2,text_only,1-2,2,1.0
liar2_finance,1,11,2,emotion_aware,1-2,2,1.0
liar2_finance,1,11,3,text_only,1-2,1,1.0
liar2_finance,1,11,3,emotion_aware,1-1,2,1.0
liar2_finance,1,11,4,text_only,1-2,1,1.0
liar2_finance,1,11,4,emotion_aware,1-1,1,1.0
liar2_finance,1,11,5,text_only,1-2,1,10.0
liar2_finance,1,11,5,emotion_aware,1-2,1,10.0
liar2_finance,2,22,1,text_only,1-2,2,1.0
liar2_finance,2,22,1,emotion_aware,1-2,1,10.0
liar2_finance,2,22,2,text_only,1-2,1,10.0
liar2_finance,2,22,2,emotion_aware,1-2,1,10.0
liar2_finance,2,22,3,text_only,1-2,2,1.0
liar2_finance,2,22,3,emotion_aware,1-2,1,10.0
liar2_finance,2,22,4,text_only,1-2,1,10.0
liar2_finance,2,22,4,emotion_aware,1-2,1,10.0
liar2_finance,2,22,5,text_only,1-2,1,0.1
liar2_finance,2,22,5,emotion_aware,1-2,1,10.0
liar2_finance,3,33,1,text_only,1-2,1,1.0
liar2_finance,3,33,1,emotion_aware,1-2,2,1.0
liar2_finance,3,33,2,text_only,1-2,2,1.0
liar2_finance,3,33,2,emotion_aware,1-2,2,1.0
liar2_finance,3,33,3,text_only,1-2,2,0.1
liar2_finance,3,33,3,emotion_aware,1-2,1,1.0
liar2_finance,3,33,4,text_only,1-2,2,1.0
liar2_finance,3,33,4,emotion_aware,1-2,1,10.0
liar2_finance,3,33,5,text_only,1-2,1,1.0
liar2_finance,3,33,5,emotion_aware,1-2,1,10.0
liar2_finance,4,44,1,text_only,1-2,1,1.0
liar2_finance,4,44,1,emotion_aware,1-2,1,10.0
liar2_finance,4,44,2,text_only,1-2,1,10.0
liar2_finance,4,44,2,emotion_aware,1-2,1,10.0
liar2_finance,4,44,3,text_only,1-2,1,10.0
liar2_finance,4,44,3,emotion_aware,1-2,1,10.0
liar2_finance,4,44,4,text_only,1-2,1,10.0
liar2_finance,4,44,4,emotion_aware,1-2,1,10.0
liar2_finance,4,44,5,text_only,1-2,2,0.1
liar2_finance,4,44,5,emotion_aware,1-1,2,1.0
liar2_finance,5,55,1,text_only,1-2,1,1.0
liar2_finance,5,55,1,emotion_aware,1-2,1,10.0
liar2_finance,5,55,2,text_only,1-2,1,10.0
liar2_finance,5,55,2,emotion_aware,1-2,1,10.0
liar2_finance,5,55,3,text_only,1-2,1,10.0
liar2_finance,5,55,3,emotion_aware,1-2,1,10.0
liar2_finance,5,55,4,text_only,1-1,2,0.1
liar2_finance,5,55,4,emotion_aware,1-1,2,1.0
liar2_finance,5,55,5,text_only,1-2,1,10.0
liar2_finance,5,55,5,emotion_aware,1-2,1,10.0
liar2_finance,6,66,1,text_only,1-1,2,0.1
liar2_finance,6,66,1,emotion_aware,1-2,2,1.0
liar2_finance,6,66,2,text_only,1-2,1,0.1
liar2_finance,6,66,2,emotion_aware,1-2,2,10.0
liar2_finance,6,66,3,text_only,1-2,2,1.0
liar2_finance,6,66,3,emotion_aware,1-1,1,1.0
liar2_finance,6,66,4,text_only,1-2,2,1.0
liar2_finance,6,66,4,emotion_aware,1-2,1,10.0
liar2_finance,6,66,5,text_only,1-2,2,1.0
liar2_finance,6,66,5,emotion_aware,1-2,2,10.0
liar2_finance,7,77,1,text_only,1-2,1,10.0
liar2_finance,7,77,1,emotion_aware,1-2,1,10.0
liar2_finance,7,77,2,text_only,1-2,1,10.0
liar2_finance,7,77,2,emotion_aware,1-2,1,10.0
liar2_finance,7,77,3,text_only,1-2,2,1.0
liar2_finance,7,77,3,emotion_aware,1-2,2,1.0
liar2_finance,7,77,4,text_only,1-2,1,0.1
liar2_finance,7,77,4,emotion_aware,1-1,2,1.0
liar2_finance,7,77,5,text_only,1-2,2,1.0
liar2_finance,7,77,5,emotion_aware,1-2,1,10.0
liar2_finance,8,88,1,text_only,1-2,1,10.0
liar2_finance,8,88,1,emotion_aware,1-2,1,10.0
liar2_finance,8,88,2,text_only,1-2,1,10.0
liar2_finance,8,88,2,emotion_aware,1-2,1,10.0
liar2_finance,8,88,3,text_only,1-1,1,1.0
liar2_finance,8,88,3,emotion_aware,1-1,1,1.0
liar2_finance,8,88,4,text_only,1-2,1,1.0
liar2_finance,8,88,4,emotion_aware,1-1,1,1.0
liar2_finance,8,88,5,text_only,1-1,2,1.0
liar2_finance,8,88,5,emotion_aware,1-1,2,1.0
liar2_finance,9,99,1,text_only,1-2,1,10.0
liar2_finance,9,99,1,emotion_aware,1-2,1,10.0
liar2_finance,9,99,2,text_only,1-2,1,1.0
liar2_finance,9,99,2,emotion_aware,1-2,1,1.0
liar2_finance,9,99,3,text_only,1-2,2,1.0
liar2_finance,9,99,3,emotion_aware,1-2,1,10.0
liar2_finance,9,99,4,text_only,1-2,1,0.1
liar2_finance,9,99,4,emotion_aware,1-1,1,1.0
liar2_finance,9,99,5,text_only,1-2,1,10.0
liar2_finance,9,99,5,emotion_aware,1-2,1,10.0
liar2_finance,10,110,1,text_only,1-2,1,1.0
liar2_finance,10,110,1,emotion_aware,1-2,2,1.0
liar2_finance,10,110,2,text_only,1-2,1,1.0
liar2_finance,10,110,2,emotion_aware,1-2,1,1.0
liar2_finance,10,110,3,text_only,1-2,1,10.0
liar2_finance,10,110,3,emotion_aware,1-2,1,10.0
liar2_finance,10,110,4,text_only,1-2,2,0.1
liar2_finance,10,110,4,emotion_aware,1-1,2,1.0
liar2_finance,10,110,5,text_only,1-2,2,0.1
liar2_finance,10,110,5,emotion_aware,1-2,2,1.0
factors_finance,1,11,1,text_only,1-1,1,0.1
factors_finance,1,11,1,emotion_aware,1-1,2,1.0
factors_finance,1,11,2,text_only,1-1,2,1.0
factors_finance,1,11,2,emotion_aware,1-2,2,10.0
factors_finance,1,11,3,text_only,1-2,1,1.0
factors_finance,1,11,3,emotion_aware,1-1,2,10.0
factors_finance,1,11,4,text_only,1-2,1,1.0
factors_finance,1,11,4,emotion_aware,1-1,2,1.0
factors_finance,1,11,5,text_only,1-1,2,0.1
factors_finance,1,11,5,emotion_aware,1-2,1,10.0
factors_finance,2,22,1,text_only,1-2,1,10.0
factors_finance,2,22,1,emotion_aware,1-2,1,10.0
factors_finance,2,22,2,text_only,1-2,1,10.0
factors_finance,2,22,2,emotion_aware,1-1,2,10.0
factors_finance,2,22,3,text_only,1-1,1,0.1
factors_finance,2,22,3,emotion_aware,1-2,1,10.0
factors_finance,2,22,4,text_only,1-2,1,0.1
factors_finance,2,22,4,emotion_aware,1-2,1,10.0
factors_finance,2,22,5,text_only,1-1,1,0.1
factors_finance,2,22,5,emotion_aware,1-1,1,10.0
factors_finance,3,33,1,text_only,1-2,1,0.1
factors_finance,3,33,1,emotion_aware,1-2,2,1.0
factors_finance,3,33,2,text_only,1-1,1,10.0
factors_finance,3,33,2,emotion_aware,1-1,1,1.0
factors_finance,3,33,3,text_only,1-2,2,0.1
factors_finance,3,33,3,emotion_aware,1-1,1,10.0
factors_finance,3,33,4,text_only,1-1,2,1.0
factors_finance,3,33,4,emotion_aware,1-1,2,1.0
factors_finance,3,33,5,text_only,1-1,2,0.1
factors_finance,3,33,5,emotion_aware,1-1,1,1.0
factors_finance,4,44,1,text_only,1-2,1,10.0
factors_finance,4,44,1,emotion_aware,1-2,1,10.0
factors_finance,4,44,2,text_only,1-2,1,0.1
factors_finance,4,44,2,emotion_aware,1-2,1,10.0
factors_finance,4,44,3,text_only,1-1,2,1.0
factors_finance,4,44,3,emotion_aware,1-2,2,1.0
factors_finance,4,44,4,text_only,1-1,1,1.0
factors_finance,4,44,4,emotion_aware,1-1,1,10.0
factors_finance,4,44,5,text_only,1-1,2,0.1
factors_finance,4,44,5,emotion_aware,1-2,1,10.0
factors_finance,5,55,1,text_only,1-1,2,0.1
factors_finance,5,55,1,emotion_aware,1-1,2,1.0
factors_finance,5,55,2,text_only,1-1,2,1.0
factors_finance,5,55,2,emotion_aware,1-1,1,10.0
factors_finance,5,55,3,text_only,1-2,1,0.1
factors_finance,5,55,3,emotion_aware,1-1,2,1.0
factors_finance,5,55,4,text_only,1-2,1,0.1
factors_finance,5,55,4,emotion_aware,1-2,2,1.0
factors_finance,5,55,5,text_only,1-1,2,10.0
factors_finance,5,55,5,emotion_aware,1-2,2,10.0
factors_finance,6,66,1,text_only,1-2,1,0.1
factors_finance,6,66,1,emotion_aware,1-2,1,10.0
factors_finance,6,66,2,text_only,1-2,1,10.0
factors_finance,6,66,2,emotion_aware,1-2,1,10.0
factors_finance,6,66,3,text_only,1-2,1,1.0
factors_finance,6,66,3,emotion_aware,1-2,2,10.0
factors_finance,6,66,4,text_only,1-2,2,10.0
factors_finance,6,66,4,emotion_aware,1-2,1,10.0
factors_finance,6,66,5,text_only,1-1,2,0.1
factors_finance,6,66,5,emotion_aware,1-1,2,10.0
factors_finance,7,77,1,text_only,1-2,1,10.0
factors_finance,7,77,1,emotion_aware,1-2,2,10.0
factors_finance,7,77,2,text_only,1-1,2,10.0
factors_finance,7,77,2,emotion_aware,1-2,1,10.0
factors_finance,7,77,3,text_only,1-2,1,0.1
factors_finance,7,77,3,emotion_aware,1-2,1,10.0
factors_finance,7,77,4,text_only,1-1,1,10.0
factors_finance,7,77,4,emotion_aware,1-2,1,10.0
factors_finance,7,77,5,text_only,1-2,2,1.0
factors_finance,7,77,5,emotion_aware,1-2,1,10.0
factors_finance,8,88,1,text_only,1-2,1,0.1
factors_finance,8,88,1,emotion_aware,1-2,1,10.0
factors_finance,8,88,2,text_only,1-2,1,1.0
factors_finance,8,88,2,emotion_aware,1-2,2,10.0
factors_finance,8,88,3,text_only,1-2,2,0.1
factors_finance,8,88,3,emotion_aware,1-2,2,1.0
factors_finance,8,88,4,text_only,1-2,1,0.1
factors_finance,8,88,4,emotion_aware,1-2,2,10.0
factors_finance,8,88,5,text_only,1-2,2,0.1
factors_finance,8,88,5,emotion_aware,1-2,1,10.0
factors_finance,9,99,1,text_only,1-2,1,10.0
factors_finance,9,99,1,emotion_aware,1-2,2,10.0
factors_finance,9,99,2,text_only,1-2,1,10.0
factors_finance,9,99,2,emotion_aware,1-1,1,10.0
factors_finance,9,99,3,text_only,1-2,1,10.0
factors_finance,9,99,3,emotion_aware,1-1,2,10.0
factors_finance,9,99,4,text_only,1-1,1,10.0
factors_finance,9,99,4,emotion_aware,1-1,1,10.0
factors_finance,9,99,5,text_only,1-1,1,10.0
factors_finance,9,99,5,emotion_aware,1-2,1,10.0
factors_finance,10,110,1,text_only,1-2,2,1.0
factors_finance,10,110,1,emotion_aware,1-1,1,1.0
factors_finance,10,110,2,text_only,1-2,1,1.0
factors_finance,10,110,2,emotion_aware,1-2,1,10.0
factors_finance,10,110,3,text_only,1-2,1,0.1
factors_finance,10,110,3,emotion_aware,1-1,1,10.0
factors_finance,10,110,4,text_only,1-1,1,1.0
factors_finance,10,110,4,emotion_aware,1-2,1,10.0
factors_finance,10,110,5,text_only,1-2,1,10.0
factors_finance,10,110,5,emotion_aware,1-2,1,10.0
